,polx_1,polx_2,polx_3,polx_4,polx_5,polx_6,polx_7,polx_8,poly_1,poly_2,poly_3,poly_4,poly_5,poly_6,poly_7,poly_8,polz_1,polz_2,polz_3,polz_4
polx_1,0.0006181593416529,-8.96481486121473e-06,-9.539133110332082e-05,0.00010312779859498038,-0.0001436895725387704,5.282347535039931e-05,-0.00021360651676163636,-0.0003124596158106844,1.9163435693171377e-05,5.79718959276228e-05,-8.884543546127976e-06,2.8443408993936e-05,8.045899160938528e-06,0.0003139123192589922,-0.00013682023077072502,-0.00028183339152855686,0.0003993137559956718,-0.00023651459747666846,7.873923560545724e-05,-0.000241540202088511
polx_2,-8.96481486121473e-06,0.00029040664408075135,2.6518943850873078e-05,-1.5752065694213708e-05,-3.8122241604997427e-06,-9.448863581328179e-05,-4.322777054619743e-05,-0.00015067976131547512,8.63798207072767e-07,-6.920435479618552e-05,6.064805963872057e-05,-5.414096655824072e-06,-4.167992782035673e-05,-5.706914781831266e-05,5.6759644332346575e-05,5.509632166018093e-05,-0.00010214837995993939,1.111464946879123e-05,-3.6703967073906e-05,0.00012773852709354043
polx_3,-9.539133110332082e-05,2.6518943850873078e-05,0.0002451533361757458,-7.428465877791167e-05,-0.00011168723963998375,-0.00013754067448810313,0.00010950940281369674,3.7722673532187755e-05,-0.0001043394122645065,-0.0001187595800894449,0.00011097576124994513,-4.694113506731462e-05,2.8349284058691986e-05,-7.130749392197044e-05,0.00010617651423455173,9.584637721988593e-05,-2.7291086289729905e-05,-0.0001592774684285795,8.0714161625042e-05,0.00010585505870676414
polx_4,0.00010312779859498038,-1.5752065694213708e-05,-7.428465877791167e-05,0.00025797862328763284,-6.420693798200252e-05,7.996653860887533e-05,-0.0001483553845350332,-0.0001384744195717149,0.00014619448090690424,6.0714630596825397e-05,-0.00014004706908245885,8.88621430388437e-06,-7.479069874993485e-05,0.00016160121254271394,-3.478317402249814e-05,-0.00012777607286695676,4.993019542868031e-05,-8.252229540564109e-05,7.270077618491328e-05,-4.010953568004315e-05
polx_5,-0.0001436895725387704,-3.8122241604997427e-06,-0.00011168723963998375,-6.420693798200252e-05,0.0002916062707526298,6.500720689685319e-05,-5.1862803957665875e-05,1.864539175486162e-05,6.958144763182748e-05,0.00010662442782102539,-6.268876799507721e-05,2.362170207976602e-05,-3.179295172784176e-05,-0.00010801830741936146,-3.5513199280301215e-05,3.8185719848636416e-05,-8.860496929725576e-05,0.00024269273067363417,-0.00022683855671439804,7.275088841142229e-05
polx_6,5.282347535039931e-05,-9.448863581328179e-05,-0.00013754067448810313,7.996653860887533e-05,6.500720689685319e-05,0.0001877086075708375,-0.00010144695375417108,-5.2029836009905196e-05,0.00011636885543892948,0.00011522683572160872,-0.00014674385370012398,5.023489847566375e-05,-4.161705584447106e-05,6.812252938020842e-05,-0.00011189837749074526,-4.9694087930487634e-05,6.381905622287696e-05,0.00011116376285945733,-6.810373346290565e-05,-0.00010687971805690062
polx_7,-0.00021360651676163636,-4.322777054619743e-05,0.00010950940281369674,-0.0001483553845350332,-5.1862803957665875e-05,-0.00010144695375417108,0.00023803827386273928,0.0002109523336595777,-0.00014028507800233235,-0.00011634226582404922,0.00014090885561087965,-4.27878170129301e-05,5.5214090088283e-05,-0.0001538784264972103,0.00011606089047821812,0.00014111039572435493,-0.00010515445297576095,1.538802623802031e-05,5.5329170931767315e-05,3.443810596053131e-05
polx_8,-0.0003124596158106844,-0.00015067976131547512,3.7722673532187755e-05,-0.0001384744195717149,1.864539175486162e-05,-5.2029836009905196e-05,0.0002109523336595777,0.00038632380718961267,-0.00010754761824269016,-3.6231866685944053e-05,4.5831690482115144e-05,-1.6043339069950206e-05,9.827136338295039e-05,-0.0001533636199073812,4.001831640779596e-05,0.0001290656851102831,-0.00018986542750653356,9.795620914096333e-05,4.416282656619735e-05,4.774725335994197e-05
poly_1,1.9163435693171377e-05,8.63798207072767e-07,-0.0001043394122645065,0.00014619448090690424,6.958144763182748e-05,0.00011636885543892948,-0.00014028507800233235,-0.00010754761824269016,0.00023489991735836055,5.689089559333679e-05,-0.00014086014045152124,2.044211558506189e-05,-8.659826250686652e-05,4.749302811021322e-05,-5.316590166530831e-05,-7.910185197620808e-05,-4.574708209305982e-05,0.00014102005524733077,-4.1607940918045514e-05,-5.366513375406275e-05
poly_2,5.79718959276228e-05,-6.920435479618552e-05,-0.0001187595800894449,6.0714630596825397e-05,0.00010662442782102539,0.00011522683572160872,-0.00011634226582404922,-3.6231866685944053e-05,5.689089559333679e-05,0.00020136504121730738,-0.00015154743319398524,4.6148734069090574e-05,-1.5058684542548311e-05,6.59168592439297e-05,-0.00013532835760435386,-6.838725106618474e-05,2.6865373548582292e-05,8.78543031661926e-05,-9.678093587614076e-05,-1.7939351758777412e-05
poly_3,-8.884543546127976e-06,6.064805963872057e-05,0.00011097576124994513,-0.00014004706908245885,-6.268876799507721e-05,-0.00014674385370012398,0.00014090885561087965,4.5831690482115144e-05,-0.00014086014045152124,-0.00015154743319398524,0.0002573932138325533,-7.337844400684206e-05,3.8601133238238156e-05,-5.893932734429467e-05,0.00011994360775791784,8.787580063393981e-06,8.606518597154304e-05,-0.00017887495527045715,3.563767496246544e-05,5.7172592785425944e-05
poly_4,2.8443408993936e-05,-5.414096655824072e-06,-4.694113506731462e-05,8.88621430388437e-06,2.362170207976602e-05,5.023489847566375e-05,-4.27878170129301e-05,-1.6043339069950206e-05,2.044211558506189e-05,4.6148734069090574e-05,-7.337844400684206e-05,8.793865017332322e-05,-2.1027407984999395e-05,-6.09872431507778e-07,-5.4474694465296285e-05,-5.03916683108999e-06,-2.706626393462129e-05,9.592576330036676e-05,-7.215309354714715e-05,3.2935248028445637e-06
poly_5,8.045899160938528e-06,-4.167992782035673e-05,2.8349284058691986e-05,-7.479069874993485e-05,-3.179295172784176e-05,-4.161705584447106e-05,5.5214090088283e-05,9.827136338295039e-05,-8.659826250686652e-05,-1.5058684542548311e-05,3.8601133238238156e-05,-2.1027407984999395e-05,0.00010458768097743401,-6.564144819375149e-06,-2.134105029151516e-05,7.40073470814456e-06,8.576353727536283e-06,-5.953639261286969e-05,3.591492433929792e-05,1.5045137006406646e-05
poly_6,0.0003139123192589922,-5.706914781831266e-05,-7.130749392197044e-05,0.00016160121254271394,-0.00010801830741936146,6.812252938020842e-05,-0.0001538784264972103,-0.0001533636199073812,4.749302811021322e-05,6.59168592439297e-05,-5.893932734429467e-05,-6.09872431507778e-07,-6.564144819375149e-06,0.0002845917256824485,-0.00011933880485913428,-0.00021255048413367243,0.00029340896414286883,-0.00024911554686304395,0.00011220889881656318,-0.00015650386291901047
poly_7,-0.00013682023077072502,5.6759644332346575e-05,0.00010617651423455173,-3.478317402249814e-05,-3.5513199280301215e-05,-0.00011189837749074526,0.00011606089047821812,4.001831640779596e-05,-5.316590166530831e-05,-0.00013532835760435386,0.00011994360775791784,-5.4474694465296285e-05,-2.134105029151516e-05,-0.00011933880485913428,0.00020027374046668422,6.34319008433682e-05,-8.424275358324974e-05,-3.835128452207964e-05,2.542398037305195e-05,9.717070615148269e-05
poly_8,-0.00028183339152855686,5.509632166018093e-05,9.584637721988593e-05,-0.00012777607286695676,3.8185719848636416e-05,-4.9694087930487634e-05,0.00014111039572435493,0.0001290656851102831,-7.910185197620808e-05,-6.838725106618474e-05,8.787580063393981e-06,-5.03916683108999e-06,7.40073470814456e-06,-0.00021255048413367243,6.34319008433682e-05,0.0002854594122637755,-0.0002578612439195205,0.00020107910363785145,1.3562155770147815e-06,5.542708406827044e-05
polz_1,0.0003993137559956718,-0.00010214837995993939,-2.7291086289729905e-05,4.993019542868031e-05,-8.860496929725576e-05,6.381905622287696e-05,-0.00010515445297576095,-0.00018986542750653356,-4.574708209305982e-05,2.6865373548582292e-05,8.606518597154304e-05,-2.706626393462129e-05,8.576353727536283e-06,0.00029340896414286883,-8.424275358324974e-05,-0.0002578612439195205,0.0007092732247892861,-0.0003574600494329347,-3.153416349589376e-05,-0.0003202813511170087
polz_2,-0.00023651459747666846,1.111464946879123e-05,-0.0001592774684285795,-8.252229540564109e-05,0.00024269273067363417,0.00011116376285945733,1.538802623802031e-05,9.795620914096333e-05,0.00014102005524733077,8.78543031661926e-05,-0.00017887495527045715,9.592576330036676e-05,-5.953639261286969e-05,-0.00024911554686304395,-3.835128452207964e-05,0.00020107910363785145,-0.0003574600494329347,0.0007438056487503635,-0.0002676035691388014,-0.00011874072915614472
polz_3,7.873923560545724e-05,-3.6703967073906e-05,8.0714161625042e-05,7.270077618491328e-05,-0.00022683855671439804,-6.810373346290565e-05,5.5329170931767315e-05,4.416282656619735e-05,-4.1607940918045514e-05,-9.678093587614076e-05,3.563767496246544e-05,-7.215309354714715e-05,3.591492433929792e-05,0.00011220889881656318,2.542398037305195e-05,1.3562155770147815e-06,-3.153416349589376e-05,-0.0002676035691388014,0.00044531537409611135,-0.00014617786373029038
polz_4,-0.000241540202088511,0.00012773852709354043,0.00010585505870676414,-4.010953568004315e-05,7.275088841142229e-05,-0.00010687971805690062,3.443810596053131e-05,4.774725335994197e-05,-5.366513375406275e-05,-1.7939351758777412e-05,5.7172592785425944e-05,3.2935248028445637e-06,1.5045137006406646e-05,-0.00015650386291901047,9.717070615148269e-05,5.542708406827044e-05,-0.0003202813511170087,-0.00011874072915614472,-0.00014617786373029038,0.0005852012046103822
