,polx_1,polx_2,polx_3,polx_4,polx_5,polx_6,polx_7,polx_8,poly_1,poly_2,poly_3,poly_4,poly_5,poly_6,poly_7,poly_8,polz_1,polz_2,polz_3,polz_4
polx_1,0.00042423467931471175,0.0001368926723653313,-2.8336161216230003e-05,1.4501204400982675e-05,-0.00011600571561039955,-0.00010841885630347322,-0.00014666959027166349,-0.00017619837331311897,-9.522538822206574e-06,-8.885282722352203e-05,1.8090878756215684e-05,8.603966187611104e-05,6.672774757027887e-05,4.7908340497283746e-05,8.844545690249862e-07,-0.00012127503547506152,0.0001371591789358456,-6.0142810032408236e-05,-2.0140287275104848e-05,-5.6876721638843234e-05
polx_2,0.0001368926723653313,0.00020266806351387407,3.357604684105185e-05,3.699281460715372e-05,-7.749147142693106e-05,-7.624169324038997e-05,-9.319722491392644e-05,-0.000163199271716725,4.381540541816854e-06,-3.0249525484761344e-05,2.8179132419612245e-05,8.907485388987734e-06,-1.0004686533916064e-05,2.9819933229892083e-05,5.723576037495908e-05,-8.826952792807496e-05,5.533339683296165e-05,-0.00011874981982176824,-4.17778693914802e-05,0.00010519405441028156
polx_3,-2.8336161216230003e-05,3.357604684105185e-05,5.789208120724371e-05,5.262579159939072e-06,-8.953189958921188e-06,-2.9870354317052623e-06,-1.3504105656280249e-05,-4.2950286603680086e-05,-1.0604486534734603e-06,7.833745435236884e-06,2.5464230095621434e-06,-1.4756375729627623e-05,-1.9705603211690906e-05,-5.661716107643699e-06,2.136748530051457e-05,9.436433569439034e-06,-3.225747003761425e-05,-3.327174937322974e-05,-1.8172130393775216e-05,8.370138629852179e-05
polx_4,1.4501204400982675e-05,3.699281460715372e-05,5.262579159939072e-06,6.0490660179095824e-05,-4.60444467318148e-05,-3.3163779739955025e-05,-1.6829490522878678e-05,-2.1209533543994643e-05,-1.3277086987475032e-06,-1.6782453894822135e-05,-2.9325463058323336e-06,-1.4850861054021368e-06,-5.972163071618967e-07,1.4554314494040473e-05,4.282312666507274e-05,-3.4252237495800936e-05,3.6103454389210845e-05,-0.00010702849488613685,4.780042008798105e-05,2.3124541086179542e-05
polx_5,-0.00011600571561039955,-7.749147142693106e-05,-8.953189958921188e-06,-4.60444467318148e-05,0.00012728320117758323,7.204062966905082e-05,9.340517059489881e-06,3.9830507689729723e-05,3.030442470893008e-05,3.1138297021655236e-05,-1.9509023310298355e-05,-1.833375614749354e-05,-1.5769673293443474e-05,-5.125640576865248e-06,-8.676646191649518e-05,8.406156283206144e-05,-3.536098284759687e-05,0.00012356348610255324,-7.077000568312803e-05,-1.7432179525969904e-05
polx_6,-0.00010841885630347322,-7.624169324038997e-05,-2.9870354317052623e-06,-3.3163779739955025e-05,7.204062966905082e-05,8.674377760885019e-05,1.6954303832583767e-05,4.507258401684827e-05,3.601196148556354e-05,2.0628487108299442e-05,-2.960259360358609e-05,-1.081419496235865e-05,-1.6611258825181472e-05,-9.888113153931663e-06,-5.546606517094782e-05,6.574163255394718e-05,-2.5433498860516866e-05,0.00010660323052048181,-4.6304713737269044e-05,-3.4864995186534604e-05
polx_7,-0.00014666959027166349,-9.319722491392644e-05,-1.3504105656280249e-05,-1.6829490522878678e-05,9.340517059489881e-06,1.6954303832583767e-05,0.00012886488597504966,0.00011504088607851526,-3.117811439525522e-05,3.989752187019265e-05,1.0513999852975744e-05,-2.9216346021281116e-05,-1.7114241714646263e-05,-4.103381997430978e-05,2.975329144672941e-05,3.837730849885219e-05,-9.811534506309368e-05,4.751570078733176e-05,6.623797793308433e-05,-1.563795359533336e-05
polx_8,-0.00017619837331311897,-0.000163199271716725,-4.2950286603680086e-05,-2.1209533543994643e-05,3.9830507689729723e-05,4.507258401684827e-05,0.00011504088607851526,0.00020361361201668823,-2.7609136820234144e-05,3.638681728689723e-05,-7.286267038988493e-06,-2.0341445004424837e-05,1.3074895772783457e-05,-3.057329731898289e-05,-9.831582520453973e-06,4.617990158976632e-05,-3.7429042257415554e-05,4.151054274358768e-05,8.312680470524247e-05,-8.720810520247927e-05
poly_1,-9.522538822206574e-06,4.381540541816854e-06,-1.0604486534734603e-06,-1.3277086987475032e-06,3.030442470893008e-05,3.601196148556354e-05,-3.117811439525522e-05,-2.7609136820234144e-05,6.770667656542518e-05,-2.474524707340907e-05,-2.4206978748748072e-05,4.821499777049832e-06,-1.556396008669972e-05,1.3846485674335834e-05,-3.453367678225751e-05,1.2675232958509211e-05,2.7710064772268052e-05,4.9145585347840136e-05,-4.761018384309557e-05,-2.924573516337824e-05
poly_2,-8.885282722352203e-05,-3.0249525484761344e-05,7.833745435236884e-06,-1.6782453894822135e-05,3.1138297021655236e-05,2.0628487108299442e-05,3.989752187019265e-05,3.638681728689723e-05,-2.474524707340907e-05,7.258503007628723e-05,8.14682823594831e-06,-1.987868176840337e-05,-1.791368751901913e-05,-2.8740474721683773e-05,-1.700755955923793e-05,2.755343714858146e-05,-7.46125721286945e-05,5.364723903859961e-05,-2.1322408353108848e-05,4.2288103485905764e-05
