,polx_1,polx_2,polx_3,polx_4,polx_5,polx_6,polx_7,polx_8,poly_1,poly_2,poly_3,poly_4,poly_5,poly_6,poly_7,poly_8,polz_1,polz_2,polz_3,polz_4
polx_1,0.00041856945055107316,0.00014268904031912368,-4.0625576554550106e-05,-3.407632592440248e-05,-6.906402274843611e-05,-0.00017963328308865154,-0.00011197917140435304,-0.0001258802737089527,-2.2595785037052552e-05,-0.00014286933999734652,4.7787605551935996e-05,9.205135910422187e-05,0.00011036535190437961,-4.010141925111733e-05,4.7865086151097896e-05,-9.250257652655546e-05,9.612573127729007e-06,1.5132173025231458e-05,-5.264491395372666e-05,2.7900663660050615e-05
polx_2,0.00014268904031912368,0.00028831772555612783,4.20815313795108e-05,4.431527037043898e-05,-0.00011694491795131766,-0.00013240681040007946,-0.00012182827871448664,-0.0001462232508876269,-4.364852045430068e-06,-7.10605937382028e-05,3.582621494975137e-06,6.076519166627629e-05,1.705001814453646e-05,-2.2363195490716713e-05,0.0001222491612996419,-0.00010585800339539615,9.613036717518299e-05,-0.00015331025632061795,-6.790776525225542e-05,0.00012508859087659394
polx_3,-4.0625576554550106e-05,4.20815313795108e-05,0.00010186132655160079,-1.2164080560014857e-05,-7.766664579711536e-06,2.619600995369774e-05,-5.121455268853044e-05,-5.8367857188232394e-05,2.6735994446397283e-05,-3.086674745786104e-07,-8.93577208471019e-06,-1.0250733306477144e-05,-2.3217114882911687e-05,1.9002141653876416e-05,-3.370893789710821e-05,3.068325024832129e-05,3.0817576449037375e-06,-2.3638303630689953e-06,-7.068005871461789e-05,6.996254347681222e-05
polx_4,-3.407632592440248e-05,4.431527037043898e-05,-1.2164080560014857e-05,9.941310728799724e-05,-5.010746235419312e-05,-3.071070810355491e-05,-1.1179966750054361e-05,-5.489828405596651e-06,-2.536096651911483e-05,5.533153973109239e-05,-2.0391933567024516e-05,-1.1745394633746554e-06,-1.6080878483601637e-05,-1.731036555267069e-05,6.594680112158386e-05,-4.095957545147122e-05,-1.1509135705505873e-05,-0.00012114527825605849,8.567042374309291e-05,4.698397486911512e-05
polx_5,-6.906402274843611e-05,-0.00011694491795131766,-7.766664579711536e-06,-5.010746235419312e-05,0.00010598935639415958,5.3500595434431456e-05,4.029772452797534e-05,4.4095309293572874e-05,1.6192442304255813e-05,-1.2436562007765657e-05,1.4754879876145721e-05,-3.409239772985805e-05,-4.157152225634478e-06,3.000682732070816e-05,-8.747744224474391e-05,7.720908197507426e-05,9.75513485880694e-07,7.129873616379412e-05,-1.2035043720371088e-05,-6.023979389670241e-05
polx_6,-0.00017963328308865154,-0.00013240681040007946,2.619600995369774e-05,-3.071070810355491e-05,5.3500595434431456e-05,0.00015518348549481894,5.857427188344759e-05,4.9296438906230096e-05,1.7534463541792883e-05,8.55309876356513e-05,-2.2580992874719928e-05,-5.634604846417826e-05,-5.609236220893631e-05,3.288443573257908e-05,-8.63889791481467e-05,8.545825123420039e-05,-5.454557877010818e-05,0.00010391215592871873,-1.9201141547014792e-05,-3.0165819688847054e-05
polx_7,-0.00011197917140435304,-0.00012182827871448664,-5.121455268853044e-05,-1.1179966750054361e-05,4.029772452797534e-05,5.857427188344759e-05,0.00011985768626892676,7.747223825469345e-05,-4.279150287801034e-06,5.9078078205296574e-05,-1.1025456111078489e-06,-3.51860629173826e-05,-3.353770436950306e-05,7.117649189166711e-06,-9.521979060532255e-06,1.743139353742083e-05,-5.072108999812029e-05,4.5747049796041606e-05,5.282240746951495e-05,-4.784898138665564e-05
polx_8,-0.0001258802737089527,-0.0001462232508876269,-5.8367857188232394e-05,-5.489828405596651e-06,4.4095309293572874e-05,4.9296438906230096e-05,7.747223825469345e-05,0.00016509706529145964,-3.8621098792634025e-06,2.673464578598862e-05,-1.3113819193021744e-05,-1.5766817472912988e-05,5.669726194162432e-06,-9.23606844220186e-06,-1.896358976609906e-05,2.8538049017368198e-05,6.975668517891981e-06,4.0728978435383096e-05,8.397589756044576e-05,-0.00013168078738078014
poly_1,-2.2595785037052552e-05,-4.364852045430068e-06,2.6735994446397283e-05,-2.536096651911483e-05,1.6192442304255813e-05,1.7534463541792883e-05,-4.279150287801034e-06,-3.8621098792634025e-06,4.346555039858305e-05,-4.0152148791547e-05,-1.2067974190832164e-06,-9.22953506536805e-06,-2.082872591604948e-06,7.582005803138562e-06,-2.0750136297250148e-05,2.237401317349183e-05,3.151096729367887e-05,2.9905941388416767e-05,-3.245296601452816e-05,-2.896360179931634e-05
poly_2,-0.00014286933999734652,-7.10605937382028e-05,-3.086674745786104e-07,5.533153973109239e-05,-1.2436562007765657e-05,8.55309876356513e-05,5.9078078205296574e-05,2.673464578598862e-05,-4.0152148791547e-05,0.0002453257206408145,-2.9661737905303676e-05,-4.2672267834804296e-05,-8.380346024914032e-05,1.0861370289220047e-05,-3.148588203516982e-05,-2.841221686797323e-05,-0.0001442338565977721,4.147733063025248e-05,2.5508634657996835e-05,7.72466816666469e-05
